NCT Number,Study Title,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Start Date,Primary Completion Date,Completion Date
NCT04082962,Dexamethasone Implant for Retinal Detachment in Uveal Melanoma,RECRUITING,Exudative Retinal Detachment and Uveal Melanoma,DRUG: Dexamethasone intravitreal implant,Ivana K. Kim,,INTERVENTIONAL,"April 16, 2018","April 16, 2018",June 2022
NCT01843738,Radiation Use During Vemurafenib Treatment,WITHDRAWN,BRAFV600 Mutation|Stage IV Melanoma,RADIATION: Radiation therapy|DRUG: Vemurafenib,University of Utah,,INTERVENTIONAL,June 2017,June 2017,August 2022
NCT02099825,Medication Enhanced Rapid Therapy,SUSPENDED,Anxiety Disorders,DRUG: d-cycloserine and mifepristone,Washington University School of Medicine,,INTERVENTIONAL,"January 13, 2014","January 13, 2014",August 2022
NCT03960125,Photodynamic Therapy and Microvesicles,WITHDRAWN,Photodynamic Therapy|Microvesicle Particle,DEVICE: Photodynamic Therapy|DRUG: 4% Imipramine|DRUG: Base Cream,Wright State University,,INTERVENTIONAL,"March 29, 2021","March 29, 2021",August 2022
NCT03600155,Nivolumab and Ipilimumab After Donor Stem Cell Transplant in Treating Patients With High Risk Refractory or Relapsed Acute Myeloid Leukemia or Myelodysplastic Syndrome,UNKNOWN,Allogeneic Hematopoietic Stem Cell Transplantation Recipient|Myelodysplastic Syndrome|Recurrent Acute Myeloid Leukemia|Refractory Acute Myeloid Leukemia,BIOLOGICAL: Ipilimumab|BIOLOGICAL: Nivolumab,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,"October 11, 2018","October 11, 2018","June 1, 2022"
NCT05079425,A First-in-Human Study to Assess Single and Multiple Doses of NXC736 in Healthy Participants,RECRUITING,Healthy,DRUG: NXC736|DRUG: Placebo,NEXTGEN Bioscience,,INTERVENTIONAL,"September 10, 2021","September 10, 2021",July 2022
NCT02852655,"A Pilot Surgical Trial To Evaluate Early Immunologic Pharmacodynamic Parameters For The PD-1 Checkpoint Inhibitor, Pembrolizumab (MK-3475), In Patients With Surgically Accessible Recurrent/Progressive Glioblastoma",COMPLETED,Brain Cancer,DRUG: MK-3475,Dana-Farber Cancer Institute,Merck Sharp & Dohme LLC,INTERVENTIONAL,"September 21, 2016","September 21, 2016","June 2, 2022"
NCT04849429,Intra-discal Injection of Platelet-rich Plasma (PRP) Enriched With Exosomes in Chronic Low Back Pain,COMPLETED,Chronic Low Back Pain|Degenerative Disc Disease,BIOLOGICAL: Platelet rich plasma (PRP) with exosomes|DRUG: Normal Saline,Dr. Himanshu Bansal Foundation,,INTERVENTIONAL,"September 10, 2021","September 10, 2021","June 18, 2022"
NCT03735277,"Evaluation of the Safety and Efficacy of Hemacord HPC, Cord Blood in Subjects With Acute Ischemic Stroke",NOT_YET_RECRUITING,Acute Ischemic Stroke,"BIOLOGICAL: HPC, Cord Blood",BHI Therapeutic Sciences,,INTERVENTIONAL,"March 6, 2021","March 6, 2021",July 2022
NCT04563377,Safety and Immunogenicity of Candidate HIV Vaccines Given Sequentially,COMPLETED,Healthy,BIOLOGICAL: ChAdOx1.HTI and MVA.HTI,University of Oxford,,INTERVENTIONAL,"November 1, 2021","November 1, 2021","August 16, 2022"
NCT04779177,"Safety, Tolerability, and Pharmacokinetics of Lumateperone in Pediatric Patients With Schizophrenia or Schizoaffective Disorder",RECRUITING,Schizophrenia|Pediatric,DRUG: Lumateperone 42 mg|DRUG: Lumateperone 28 mg,"Intra-Cellular Therapies, Inc.",,INTERVENTIONAL,"March 12, 2021","March 12, 2021",July 2022
NCT05411146,"A Study Investigating the Safety, Absorption, and Elimination of Radioactively Labeled Etrumadenant, a New Compound in the Treatment of Cancer",COMPLETED,Healthy Participants,DRUG: [14C]-etrumadenant,"Arcus Biosciences, Inc.",Gilead Sciences,INTERVENTIONAL,"May 25, 2022","May 25, 2022","July 7, 2022"
NCT05330273,Drug-drug Interaction Study of Ganaplacide and Lumefantrine With Efavirenz,NOT_YET_RECRUITING,Malaria,DRUG: Ganaplacide|COMBINATION_PRODUCT: Lumefantrine|DRUG: Efavirenz,Novartis Pharmaceuticals,Medicines for Malaria Venture,INTERVENTIONAL,"April 18, 2022","April 18, 2022","June 27, 2022"
NCT05429073,A Study of RGLS8429 in Healthy Volunteers,RECRUITING,Healthy Volunteers,DRUG: RGLS8429|DRUG: Placebo volume-matching RGLS8429 dose,Regulus Therapeutics Inc.,,INTERVENTIONAL,"June 10, 2022","June 10, 2022",September 2022
NCT02960646,Engineered Donor Stem Cell Transplant in Treating Patients With Hematologic Malignancies,ACTIVE_NOT_RECRUITING,"Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia|Acute Myeloid Leukemia Arising From Previous Myelodysplastic Syndrome|Aplastic Anemia|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Chronic Myelomonocytic Leukemia|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Lymphoblastic Lymphoma|Myelodysplastic Syndrome|Myeloproliferative Neoplasm|Plasma Cell Myeloma|Recurrent Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma|Recurrent Hodgkin Lymphoma|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Therapy-Related Myelodysplastic Syndrome",DRUG: Cyclophosphamide|BIOLOGICAL: Filgrastim|DRUG: Fludarabine Phosphate|OTHER: Laboratory Biomarker Analysis|DRUG: Melphalan|PROCEDURE: Peripheral Blood Stem Cell Transplantation|BIOLOGICAL: Rituximab|DRUG: Tacrolimus|RADIATION: Total-Body Irradiation,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,"January 18, 2017","January 18, 2017","June 30, 2022"
NCT04586673,A Study to Assess Safety and Immunogenicity of Conserved Mosaic HIV-1 Vaccines,COMPLETED,HIV,BIOLOGICAL: ChAdOx1.tHIVconsv1 (C1)|BIOLOGICAL: ChAdOx1.tHIVconsv1 (C1)|BIOLOGICAL: MVA.tHIVconsv3 (M3)|BIOLOGICAL: MVA.tHIVconsv4 (M4),University of Oxford,,INTERVENTIONAL,"July 3, 2021","July 3, 2021","August 3, 2022"
NCT05369221,Feasibility of ReSpace™ Hydrogel to Establish a Stable Cervical-rectal Space,RECRUITING,Uterine Cervical Neoplasms,DEVICE: ReSpace™,Peking Union Medical College Hospital,"Shanghai Reunion Biotech Co.,Ltd.",INTERVENTIONAL,"April 25, 2022","April 25, 2022",July 2022
NCT05081388,"COVID-19 Study to Evaluate Safety, Tolerability, and Efficacy of REGN14256+Imdevimab for the Treatment of COVID-19 Adult and Adolescent Patients Without Risk Factors for Progression to Severe Disease",COMPLETED,SARS-CoV-2,DRUG: REGN14256|DRUG: imdevimab|DRUG: casirivimab + imdevimab|DRUG: Placebo,Regeneron Pharmaceuticals,,INTERVENTIONAL,"November 8, 2021","November 8, 2021","June 30, 2022"
NCT04480788,CD7-CART in the Treatment of r / r CD7 Positive Hemolymph System Malignancies on Increasing Dose and Open Label Study,RECRUITING,"T Lymphoblastic Leukemia/Lymphoma|Extramedullary NK-T-cell Lymphoma, Nasal Type|Peripheral T-cell Lymphoma, Nonspecific|Angioimmunoblastic T-cell Lymphoma|Enteropathy-Associated T-Cell Lymphoma|Anaplastic Large Cell Lymphoma, ALK-negative|T-cell Lymphoblastic Leukemia",BIOLOGICAL: T cell injection targeting CD7 chimeric antigen receptor,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",The First Affiliated Hospital of Zhengzhou University,INTERVENTIONAL,"November 24, 2020","November 24, 2020","August 1, 2022"
NCT03116529,Neoadjuvant Durvalumab and Tremelimumab Plus Radiation for High Risk Soft-Tissue Sarcoma,RECRUITING,Soft Tissue Sarcoma,"COMBINATION_PRODUCT: Combination Radiation, Immunotherapy, Surgery","University of Maryland, Baltimore",AstraZeneca|University of Arizona|West Penn Allegheny Health System,INTERVENTIONAL,"June 21, 2017","June 21, 2017",June 2022
NCT04500860,Low Dose Tadalafil for Treatment of Female OAB Syndrome: Short Term Follow up.,COMPLETED,Female Patients With Overactive Bladder Syndrome or Female Patients With Urgency or Urgency Urinary Incontinence,"DRUG: Low dose tadalafil 5 mg|DRUG: Tolterodine 4 Mg Oral Capsule, Extended Release|DRUG: Placebo",Kasr El Aini Hospital,,INTERVENTIONAL,"December 1, 2020","December 1, 2020","July 1, 2022"
NCT02980029,TVB 2640 for Resectable Colon Cancer Other Resectable Cancers; a Window Trial.,RECRUITING,Colon Cancer,DRUG: TVB-2640|OTHER: Placebo,Mark Evers,,INTERVENTIONAL,"October 6, 2017","October 6, 2017","August 31, 2022"
NCT05156229,A Phase 1/2a Study of CDK-003 in Patients With Cutaneous T-Cell Lymphoma (CTCL).,TERMINATED,Cutaneous T-cell Lymphoma (CTCL),BIOLOGICAL: CDK-003,Codiak BioSciences,,INTERVENTIONAL,"September 6, 2021","September 6, 2021","August 24, 2022"
NCT03109353,Modification of Extracorporeal Photopheresis in Cutaneous T-cell Lymphoma or Chronic Graft-versus-host Disease,RECRUITING,"Cutaneous T-Cell Lymphoma, Unspecified|Chronic Graft Versus Host Disease in Skin",DRUG: ECP with 5-aminolevulinic acid,St. Olavs Hospital,Norwegian University of Science and Technology|Oslo University Hospital,INTERVENTIONAL,"September 20, 2017","September 20, 2017",June 2022
NCT04976738,A Study of Cybis™ 10:25 THC:CBD Oil in Adults With Chronic Back/Neck Pain,COMPLETED,"Chronic Pain|Neck Pain|Back Pain|Pain|Pain, Chronic|Pain, Back|Pain, Neck|CBD|THC",DRUG: Cybis™ 10:25 THC:CBD oil,Cymra Life Sciences,,INTERVENTIONAL,"September 20, 2021","September 20, 2021","June 15, 2022"
NCT05366738,A Study to Determine the Bioavailability of Vonoprazan Sprinkle Capsules on Pudding or on Applesauce Relative to a Vonoprazan Tablet in Healthy Participants,COMPLETED,Healthy Volunteers,DRUG: Vonoprazan|DRUG: Vonoprazan,"Phathom Pharmaceuticals, Inc.",,INTERVENTIONAL,"May 18, 2022","May 18, 2022","July 1, 2022"
NCT05292638,Safety and Efficacy of CKDB-501A in Subjects With Moderate-to-severe Glabellar Lines,RECRUITING,Glabellar Lines,DRUG: CKDB-501A|DRUG: Botox®,CKD Bio Corporation,,INTERVENTIONAL,"February 15, 2022","February 15, 2022","June 10, 2022"
NCT02992964,Pilot Study of Nivolumab in Pediatric Patients With Hypermutant Cancers,ACTIVE_NOT_RECRUITING,Refractory or Recurrent Hypermutated Malignancies|Biallelic Mismatch Repair Deficiency (bMMRD) Positive Patients,DRUG: Nivolumab,The Hospital for Sick Children,Bristol-Myers Squibb,INTERVENTIONAL,"May 15, 2017","May 15, 2017",September 2022
NCT02649764,"Prexasertib (LY2606368), Cytarabine, and Fludarabine in Patients With Relapsed or Refractory Acute Myeloid Leukemia or High-Risk Myelodysplastic Syndrome",COMPLETED,Chronic Myelomonocytic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent High Risk Myelodysplastic Syndrome|Refractory Acute Myeloid Leukemia|Refractory High Risk Myelodysplastic Syndrome,DRUG: Cytarabine|DRUG: Fludarabine Phosphate|OTHER: Laboratory Biomarker Analysis|DRUG: Prexasertib,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,"May 4, 2016","May 4, 2016","July 12, 2022"
NCT05349864,A Study to Understand the Effect of Low-Fat and High-Fat Meals on the Medicine Called PF-07284890 in Healthy Adults,RECRUITING,Healthy Participants,DRUG: PF-07284890 Treatment A|DRUG: PF-07284890 Treatment B|DRUG: PF-07284890 Treatment C,Pfizer,,INTERVENTIONAL,"April 22, 2022","April 22, 2022","July 1, 2022"
NCT05364164,A Food Effect Study of CT-L01 After Oral Administration in Healthy Volunteers,COMPLETED,Type 2 Diabetes,"DRUG: CT-L01 12.5/1,000 mg|DRUG: CT-L01 12.5/1,000 mg",Celltrion,,INTERVENTIONAL,"July 9, 2022","July 9, 2022","July 19, 2022"
NCT04086264,IMGN632 as Monotherapy or With Venetoclax and/or Azacitidine for Patients With CD123-Positive Acute Myeloid Leukemia,RECRUITING,Acute Myeloid Leukemia,DRUG: Azacitidine|DRUG: IMGN632|DRUG: Venetoclax,"ImmunoGen, Inc.",Jazz Pharmaceuticals,INTERVENTIONAL,"November 6, 2019","November 6, 2019","June 16, 2022"
NCT03784677,SOR-C13 in Treating Patients With Advanced Refractory Solid Tumors,RECRUITING,Advanced Malignant Solid Neoplasm|Refractory Malignant Solid Neoplasm|Refractory Ovarian Carcinoma|Refractory Pancreatic Carcinoma|Stage II Pancreatic Cancer AJCC v8|Stage IIA Pancreatic Cancer AJCC v8|Stage IIB Pancreatic Cancer AJCC v8|Stage III Ovarian Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage III Prostate Cancer AJCC v8|Stage IIIA Ovarian Cancer AJCC v8|Stage IIIA Prostate Cancer AJCC v8|Stage IIIB Ovarian Cancer AJCC v8|Stage IIIB Prostate Cancer AJCC v8|Stage IIIC Ovarian Cancer AJCC v8|Stage IIIC Prostate Cancer AJCC v8|Stage IV Ovarian Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Stage IVA Ovarian Cancer AJCC v8|Stage IVA Prostate Cancer AJCC v8|Stage IVB Ovarian Cancer AJCC v8|Stage IVB Prostate Cancer AJCC v8,DRUG: TRPV6 Calcium Channel Inhibitor SOR-C13,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,"July 29, 2019","July 29, 2019","August 9, 2022"
NCT04021277,Acoustic Cluster Therapy (ACT) With Chemotherapy in Metastatic Liver Metastases of Gastrointestinal Origin,UNKNOWN,Solid Tumor|Colorectal Cancer|Pancreatic Cancer,COMBINATION_PRODUCT: PS101 and Ultra Sound for escalation|COMBINATION_PRODUCT: PS101 and Ultra Sound for expansion,EXACT Therapeutics AS,,INTERVENTIONAL,"September 17, 2019","September 17, 2019",July 2022
NCT05152277,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of HRS9531 in Healthy Subjects",COMPLETED,Type 2 Diabetes,DRUG: HRS9531|OTHER: placebo|DRUG: HRS9531|OTHER: placebo,"Fujian Shengdi Pharmaceutical Co., Ltd.",,INTERVENTIONAL,"December 6, 2021","December 6, 2021","August 24, 2022"
NCT03830177,Safety and Efficacy of a Topical Scalp Treatment for Dry Scalp Conditions in Children and Adult,RECRUITING,"Dermatitis, Seborrheic|Dry Skin; Eczema",DRUG: Natural Treatment,Ann & Robert H Lurie Children's Hospital of Chicago,"Feinberg School of Medicine, Northwestern University",INTERVENTIONAL,"May 6, 2019","May 6, 2019","August 1, 2022"
NCT04095221,"A Study of the Drugs Prexasertib, Irinotecan, and Temozolomide in People With Desmoplastic Small Round Cell Tumor and Rhabdomyosarcoma",ACTIVE_NOT_RECRUITING,Desmoplastic Small Round Cell Tumor|Rhabdomyosarcoma,DRUG: Prexasertib|DRUG: Irinotecan,Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL,"September 17, 2019","September 17, 2019",September 2022
NCT05363592,A Bioequivalence Study of CT-L01 Compared to Co-administration (ALO 12.5 mg and MET XR 500 mg) in Healthy Volunteers,COMPLETED,Type 2 Diabetes,DRUG: CT-L01 12.5/500 mg|DRUG: Alogliptin Benzoate 12.5 mg|DRUG: Metformin HCl XR 500 mg,Celltrion,,INTERVENTIONAL,"June 25, 2022","June 25, 2022","July 5, 2022"
NCT03649321,Clinical Trial of Chemotherapy and Bemcentinib for Metastatic Pancreatic Cancer,TERMINATED,Cancer of Pancreas,DRUG: Bemcentinib|DRUG: Nab-paclitaxel|DRUG: Gemcitabine|DRUG: Cisplatin,University of Texas Southwestern Medical Center,Triligent International|Translational Genomics Research Institute|BerGenBio ASA,INTERVENTIONAL,"January 3, 2019","January 3, 2019","June 27, 2022"
NCT05491330,"Bioequivalence Study of Nirmatrelvir & Ritonavir From Copaxid 150 +100 mg Tablets (Eva Pharma, Egypt) Versus Paxlovid 150 + 100 mg Film Coated Tablets (Pfizer Europe, Belgium)",RECRUITING,Healthy,DRUG: Nirmatrelvir 150 mg + Ritonavir 100 mg (Reference first dose)|DRUG: Nirmatrelvir 150 mg + Ritonavir 100 mg (test)|DRUG: Nirmatrelvir 150 mg + Ritonavir 100 mg (Reference second dose),"Genuine Research Center, Egypt",Eva Pharma,INTERVENTIONAL,August 2022,August 2022,August 2022
NCT05470530,Dexamethasone Intravenous Versus Intrathecal in Spinal Anesthesia,COMPLETED,Healthy,DRUG: Dexamethasone,Ain Shams University,,INTERVENTIONAL,"March 10, 2022","March 10, 2022","July 10, 2022"
NCT03206021,COZMOS:Phase I/Ib Trial of Combined 5'Azacitidine and Carboplatin for Recurrent/Refractory Pediatric Brain/Solid Tumors,ACTIVE_NOT_RECRUITING,"Recurrent Childhood CNS Tumor|Ependymoma, Recurrent Childhood|Childhood Solid Tumor",DRUG: 5 Azacytidine,The Hospital for Sick Children,,INTERVENTIONAL,"August 1, 2017","August 1, 2017","July 1, 2022"
NCT04791553,Safety Study of Cenobamate in Subjects With Normal Hepatic Function and Subjects With Severe Hepatic Impairment,RECRUITING,Hepatic Impairment,DRUG: Cenobamate,"SK Life Science, Inc.",,INTERVENTIONAL,"June 17, 2021","June 17, 2021","June 7, 2022"
NCT03888053,BB-101 for Treatment of Diabetic Lower Leg and Foot Ulcers,ACTIVE_NOT_RECRUITING,Diabetic Foot Ulcer,BIOLOGICAL: BB-101,Blue Blood Biotech Corp.,,INTERVENTIONAL,"March 28, 2018","March 28, 2018","June 30, 2022"
NCT03631953,Combination of Alpelisib and Trametinib in Progressive Refractory Meningiomas,UNKNOWN,Meningioma,DRUG: Trametinib|DRUG: Alpelisib|BIOLOGICAL: Blood sample|DEVICE: MRI,Assistance Publique Hopitaux De Marseille,,INTERVENTIONAL,"September 30, 2019","September 30, 2019","September 1, 2022"
NCT04501653,Precision Functional Brain Mapping in Psilocybin,ACTIVE_NOT_RECRUITING,Psilocybin,DRUG: Psilocybin|DRUG: Methylphenidate,Washington University School of Medicine,,INTERVENTIONAL,"June 1, 2021","June 1, 2021","June 30, 2022"
NCT00392353,Vorinostat and Azacitidine in Treating Patients With Myelodysplastic Syndromes or Acute Myeloid Leukemia,ACTIVE_NOT_RECRUITING,Acute Erythroid Leukemia|Acute Megakaryoblastic Leukemia|Acute Myeloid Leukemia Arising From Previous Myelodysplastic Syndrome|Chronic Myelomonocytic Leukemia|Myelodysplastic Syndrome|Myelodysplastic Syndrome With Excess Blasts|Myelodysplastic Syndrome With Ring Sideroblasts|Recurrent Adult Acute Myeloid Leukemia|Refractory Anemia,DRUG: Azacitidine|OTHER: Laboratory Biomarker Analysis|OTHER: Pharmacological Study|DRUG: Vorinostat,National Cancer Institute (NCI),,INTERVENTIONAL,"November 22, 2006","November 22, 2006","June 30, 2022"
NCT03083353,Isradipine Enhancement of Virtual Reality Cue Exposure for Smoking Cessation,RECRUITING,"Nicotine Dependence|Smoking, Cigarette|Smoking Cessation|Smoking Behaviors|Smoking Reduction|Craving",DRUG: Isradipine|BEHAVIORAL: Cue Exposure,University of Texas at Austin,National Institute on Drug Abuse (NIDA),INTERVENTIONAL,"January 22, 2020","January 22, 2020",September 2022
NCT05084560,"Development of AWZ1066S, a Small Molecule Anti-Wolbachia Candidate Macrofilaricide Drug",NOT_YET_RECRUITING,"Filariasis, Lymphatic|Onchocerciasis",DRUG: AWZ1066S|DRUG: Placebo,Liverpool School of Tropical Medicine,Liverpool University Hospitals NHS Foundation Trust|Covance|Subiaco Associates Limited|Sylexis Limited|Eisai Limited,INTERVENTIONAL,"November 1, 2021","November 1, 2021","July 1, 2022"
NCT03910660,A Trial of BXCL701 and Pembrolizumab in Patients With mCRPC Either Small Cell Neuroendocrine Prostate Cancer or Adenocarcinoma Phenotype.,RECRUITING,Prostate Cancer|Neuroendocrine Tumors|Small Cell Carcinoma,DRUG: BXCL701 plus Pembrolizumab|DRUG: BXCL701 monotherapy,BioXcel Therapeutics Inc,,INTERVENTIONAL,"February 12, 2019","February 12, 2019","June 2, 2022"
NCT03798353,Pericardial Matrix With Mesenchymal Stem Cells for the Treatment of Patients With Infarcted Myocardial Tissue,ACTIVE_NOT_RECRUITING,Myocardial Infarction,COMBINATION_PRODUCT: PeriCord: Expanded and cryopreserved allogeneic umbilical cord Wharton´s jelly-derived adult mesenchymal stem cells colonized on human pericardial matrix.|PROCEDURE: Surgery by sternotomy,Fundació Institut Germans Trias i Pujol,Germans Trias i Pujol Hospital,INTERVENTIONAL,"May 13, 2019","May 13, 2019",September 2022
NCT02502253,BDPP Treatment for Mild Cognitive Impairment (MCI) and Prediabetes or Type 2 Diabetes Mellitus (T2DM),COMPLETED,Mild Cognitive Impairment|Alzheimer's Disease,"DRUG: grape seed polyphenolic extract, resveratrol",Johns Hopkins University,Icahn School of Medicine at Mount Sinai,INTERVENTIONAL,June 2015,June 2015,"June 1, 2022"
NCT05015894,A Research Study Looking Into Blood Levels of the Medicine NNC0480-0389 in Participants With Reduced Kidney Function Compared to Participants With Normal Kidney Function,COMPLETED,"Diabetes Mellitus, Type 2",DRUG: NNC0480-0389,Novo Nordisk A/S,,INTERVENTIONAL,"August 30, 2021","August 30, 2021","August 2, 2022"
NCT04634994,Novel Assessment of Synaptic Density in Progressive MS,RECRUITING,Primary Progressive Multiple Sclerosis|Secondary Progressive Multiple Sclerosis|Relapsing Multiple Sclerosis|Multiple Sclerosis,DRUG: [F-18]SDM-8,Brigham and Women's Hospital,Massachusetts General Hospital,INTERVENTIONAL,August 2021,August 2021,August 2022
NCT04495894,Pre-Incisional Ketorolac for Patients Undergoing Surgery for Non-Small Cell Lung Cancer and Renal Cell Carcinoma,RECRUITING,Non-small Cell Lung Cancer|Renal Cell Carcinoma,DRUG: Preoperative Ketorolac,Emory University,,INTERVENTIONAL,"August 24, 2020","August 24, 2020",August 2022
NCT04863794,A Study To Assess Distribution Of RO7248824 In The Central Nervous System Following Single Intrathecal Doses Of [89zr] Labeled RO7248824 In Healthy Male Participants,COMPLETED,Angelman Syndrome,DRUG: RO7248824,Hoffmann-La Roche,,INTERVENTIONAL,"April 29, 2021","April 29, 2021","August 1, 2022"
NCT03589794,rCSP/AP10-602 [GLA-LSQ] Vaccine Trial,COMPLETED,Plasmodium Falciparum Infection,OTHER: AP10-602|OTHER: Malaria challenge|BIOLOGICAL: rCSP,National Institute of Allergy and Infectious Diseases (NIAID),,INTERVENTIONAL,"December 21, 2018","December 21, 2018","July 5, 2022"
